event,begin,end
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2017-12-06 20:45:00,2017-12-06 22:30:00
Champions_League,2018-02-13 20:45:00,2018-02-13 22:30:00
Champions_League,2018-02-13 20:45:00,2018-02-13 22:30:00
Champions_League,2018-02-14 20:45:00,2018-02-14 22:30:00
Champions_League,2018-02-14 20:45:00,2018-02-14 22:30:00
Champions_League,2018-02-20 20:45:00,2018-02-20 22:30:00
Champions_League,2018-02-20 20:45:00,2018-02-20 22:30:00
Champions_League,2018-02-21 20:45:00,2018-02-21 22:30:00
Champions_League,2018-02-21 20:45:00,2018-02-21 22:30:00
Champions_League,2018-03-06 20:45:00,2018-03-06 22:30:00
Champions_League,2018-03-06 20:45:00,2018-03-06 22:30:00
Champions_League,2018-03-07 20:45:00,2018-03-07 22:30:00
Champions_League,2018-03-07 20:45:00,2018-03-07 22:30:00
Champions_League,2018-03-13 20:45:00,2018-03-13 22:30:00
Champions_League,2018-03-13 20:45:00,2018-03-13 22:30:00
Champions_League,2018-03-14 18:00:00,2018-03-14 19:45:00
Champions_League,2018-03-14 20:45:00,2018-03-14 22:30:00
Champions_League,2018-04-03 20:45:00,2018-04-03 22:30:00
Champions_League,2018-04-03 20:45:00,2018-04-03 22:30:00
Champions_League,2018-04-04 20:45:00,2018-04-04 22:30:00
Champions_League,2018-04-04 20:45:00,2018-04-04 22:30:00
Champions_League,2018-04-10 20:45:00,2018-04-10 22:30:00
Champions_League,2018-04-10 20:45:00,2018-04-10 22:30:00
Champions_League,2018-04-11 20:45:00,2018-04-11 22:30:00
Champions_League,2018-04-11 20:45:00,2018-04-11 22:30:00
Champions_League,2018-04-24 20:45:00,2018-04-24 22:30:00
Champions_League,2018-04-25 20:45:00,2018-04-25 22:30:00
Champions_League,2018-05-01 20:45:00,2018-05-01 22:30:00
Champions_League,2018-05-02 20:45:00,2018-05-02 22:30:00
Champions_League,2018-05-26 20:45:00,2018-05-26 22:30:00
Champions_League,2018-07-10 17:30:00,2018-07-10 19:15:00
Champions_League,2018-07-10 17:30:00,2018-07-10 19:15:00
Champions_League,2018-07-10 18:00:00,2018-07-10 19:45:00
Champions_League,2018-07-10 18:00:00,2018-07-10 19:45:00
Champions_League,2018-07-10 20:00:00,2018-07-10 21:45:00
Champions_League,2018-07-10 20:15:00,2018-07-10 22:00:00
Champions_League,2018-07-10 20:45:00,2018-07-10 22:30:00
Champions_League,2018-07-10 20:45:00,2018-07-10 22:30:00
Champions_League,2018-07-11 16:00:00,2018-07-11 17:45:00
Champions_League,2018-07-11 18:00:00,2018-07-11 19:45:00
Champions_League,2018-07-11 18:00:00,2018-07-11 19:45:00
Champions_League,2018-07-11 18:00:00,2018-07-11 19:45:00
Champions_League,2018-07-11 19:00:00,2018-07-11 20:45:00
Champions_League,2018-07-11 19:00:00,2018-07-11 20:45:00
Champions_League,2018-07-11 20:00:00,2018-07-11 21:45:00
Champions_League,2018-07-11 22:00:00,2018-07-11 23:45:00
Champions_League,2018-07-17 18:00:00,2018-07-17 19:45:00
Champions_League,2018-07-17 18:00:00,2018-07-17 19:45:00
Champions_League,2018-07-17 19:00:00,2018-07-17 20:45:00
Champions_League,2018-07-17 19:00:00,2018-07-17 20:45:00
Champions_League,2018-07-17 19:00:00,2018-07-17 20:45:00
Champions_League,2018-07-17 20:00:00,2018-07-17 21:45:00
Champions_League,2018-07-17 20:15:00,2018-07-17 22:00:00
Champions_League,2018-07-17 20:30:00,2018-07-17 22:15:00
Champions_League,2018-07-17 20:45:00,2018-07-17 22:30:00
Champions_League,2018-07-17 21:00:00,2018-07-17 22:45:00
Champions_League,2018-07-18 19:00:00,2018-07-18 20:45:00
Champions_League,2018-07-18 19:00:00,2018-07-18 20:45:00
Champions_League,2018-07-18 19:00:00,2018-07-18 20:45:00
Champions_League,2018-07-18 19:45:00,2018-07-18 21:30:00
Champions_League,2018-07-18 20:00:00,2018-07-18 21:45:00
Champions_League,2018-07-18 20:45:00,2018-07-18 22:30:00
Champions_League,2018-07-24 16:00:00,2018-07-24 17:45:00
Champions_League,2018-07-24 18:00:00,2018-07-24 19:45:00
